num;name;is_company;parent_id;category_id;street;street2;zip;city;country;website;function;phone;mobile;fax;mail;title;comment;ref;lang;product_pricelist;product_pricelist_purchase;customer;supplier;opt_out;notification_email_send;payment_responsible;property_account_position;vat;vat_subjected;account_receivable;account_payable;property_payment_term;property_supplier_payment_term;fermeture;remarque com/cli;remarque fac/cli;adresse facturation;type;blocage;fsc;representant;representant_id;remarque transport;;;;address_type
1;AGERA TRADING PARTNER;1;;;HAMMARBY FABRIKSVAG 21A; 8TR;;S-12033;STOCKHOLM;SE;;;4684629990;;4684629890;;;;F00184;FR;;;0;1;1;;vciarniello;3;SE556504512601;1;;;;;;;;;;;;;1;;;;
2;CODIMA;1;;Export;28 RUE DES ARTS;;F-59800;LILLE;FR;;;33.320.16.08.70;;;;;POUR COMMANDE CASINOPRISE DE RENDEZ-VOUS CALL CENTER 33.477.45.84.96;C02784;FR;;;1;1;1;;vciarniello;3;FR39424934990;1;;;;;;;;;;0;0;1;2;;;;;
3;CASINO ENTREPOT VIENNE;0;2;;RN7 ZI DU SALUANT;;F-38121;REVENTIN VAUGRIS;;;;;;;;;;C02784/L1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
4;CATHERINE;0;2;;;;;;;;;33320160870;;;Buffet@co-di-ma.com;;;C02784/C1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Contact
5;FMB BENELUX;1;;Export;RUE DES PRES 11;;7050;JURBISE;BE;;;065.22.65.57;;;;;GSM 0475-79.41.22 / TEL FLORENNES : 071-68.12.00FAIBLE CAPITAL; ENDETTEMENT IMPORTANTET PERTE AU BILAN 31/12/2010. 08/2012 / LIMITE TJS PROVISOIREDE 20.000 EUR UN AN POUR LES MEMES RAISONS AVEC UN FDS DE ROU-LEMENT QUI SE DEGRADE CES 3 DERNIERES ANNEES !;C02663;FR;;;1;1;1;;vciarniello;1;BE0863319202;1;;;;;;ENCOURS LIMITE A 50.000 EUROS ->DEXIA 10.000/DELHAIZE/SOGESM -> PAS DE B.O! LIVRAISON PAR CARTON ACCEPTEE. COMMERCIAL PRE ND RV SOGESMA PAR MAIL: RDV.ENTREPOT@TRAFIC.COM METTRE TOUT SUR EURO PALETTES;;;;0;0;1;3;PREVENR 0475794122 DE L'HEURE DE LIVR.;;;
6;FMB BENELUX / LA MAISON DE L'ENTR.;0;5;;RUE PASTURES 95 (derriﾊre parking);;7130;BINCHE (gsm 0475/794122);;;;;;;;;;C02663/L1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
7;CORA;0;5;;ROUTE DE MONS 163 - ENTREPOT B3;;7301;HORNU;;;;;;;;;;C02663/L2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
8;ENTREPOT PAVILLON SOGESMA;0;5;;ROUTE DE METTET 204;;5620;FLORENNES;;;;;;;;;;C02663/L3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
9;COURTHEOUX SA (STRASSEN);0;5;;RUE DU CIMETIERE;;L-8001;STRASSEN;;;;;;;;;;C02663/L4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
10;ENTREPOT CLOS DU RENARD;0;5;;RUE DE LA CROISETTE 118;;6183;TRAZEGNIES;;;;;;;;;;C02663/L5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
11;SA COLRUYT FOUR.NR 28057/001/00;0;5;;I.P STROPPEN BILKENSVELDWEG 2 K. 1;;1500;HALLE;;;;;;;;;;C02663/L6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
12;GAROCENTRE NORD;0;5;;MICHEL LOGISTIC BT BLEU RUE CRONOS;;7130;HOUDENG GOEGNIES;;;;;;;;;;C02663/L7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delivery
13;BAIZE FREDERIC;0;5;;;;;;;;;065.22.65.57;0475-79.41.22;;;;;C02663/C1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Contact
