name;cib;street;street2;Zip;City;Country_id;Tel;Fax;mail
The Royal Bank of Scotland Plc  Belgium branch;ABNABEBR;;;;;BE;;;
Banque ABNANL2A;ABNANL2A;;;;;NL;;;
Banque AGRIFRPP802;AGRIFRPP802;;;;;FR;;;
Banque AGRIFRPP810;AGRIFRPP810;;;;;FR;;;
Banque AGRIFRPP845;AGRIFRPP845;;;;;FR;;;
Banque AGRIFRPP867;AGRIFRPP867;;;;;FR;;;
Banque AGRIFRPP872;AGRIFRPP872;;;;;FR;;;
Banque AGRIFRPP879;AGRIFRPP879;;;;;FR;;;
Banque AGRIFRPP887;AGRIFRPP887;;;;;FR;;;
Banque AGRIFRPP894;AGRIFRPP894;;;;;FR;;;
Banque ALBADKKK;ALBADKKK;;;;;DK;;;
Argenta Spaarbank (ASPA);ARSPBE22;;;;;BE;;;
AXA Bank Europe;AXABBE22;;;;;BE;;;
Banque BARCGB2104F;BARCGB2104F;;;;;GB;;;
Banque BARCGB22;BARCGB22;;;;;GB;;;
ING Belgi?;BBRUBEBB;;;;;BE;;;
Banque BBVAESMM;BBVAESMM;;;;;ES;;;
Banque BBVAESMMXXX;BBVAESMMXXX;;;;;ES;;;
Banque BCEELULL;BCEELULL;;;;;LU;;;
Banque BDCHBE22;BDCHBE22;;;;;BE;;;
Banque BGLLLULL;BGLLLULL;;;;;LU;;;
BKCP;BKCPBEB1BKB;;;;;BE;;;
Banca Monte Paschi Belgio;BMPBBEBB;;;;;BE;;;
Delta Lloyd Bank;BNAGBEBB;;;;;BE;;;
Banque BNLIITRAMNO;BNLIITRAMNO;;;;;IT;;;
Banque BNLIITRR;BNLIITRR;;;;;IT;;;
BNP Paribas;BNPABEBB;;;;;BE;;;
Banque BNPAFRPP;BNPAFRPP;;;;;FR;;;
Banque BNPAFRPPBOT;BNPAFRPPBOT;;;;;FR;;;
Banque BNPAFRPPEN;BNPAFRPPEN;;;;;FR;;;
Banque BNPAFRPPIFN;BNPAFRPPIFN;;;;;FR;;;
Banque BNPAFRPPORE;BNPAFRPPORE;;;;;FR;;;
Banque BNPAFRPPPBY;BNPAFRPPPBY;;;;;FR;;;
Banque BNPAFRPPPLZ;BNPAFRPPPLZ;;;;;FR;;;
Banque BNPAFRPPPXV;BNPAFRPPPXV;;;;;FR;;;
Banque BNPAFRPPVRS;BNPAFRPPVRS;;;;;FR;;;
Bank of America  National Association;BOFABE3X;;;;;BE;;;
Banque BOFAFRPP;BOFAFRPP;;;;;FR;;;
Banque BOFIGB2B;BOFIGB2B;;;;;GB;;;
Banque BOFSGB21168;BOFSGB21168;;;;;GB;;;
Banque BOFSGB2S;BOFSGB2S;;;;;GB;;;
Banque BPALIT3L;BPALIT3L;;;;;IT;;;
Banque BPARFRPP;BPARFRPP;;;;;FR;;;
Banque BPMOIT22;BPMOIT22;;;;;IT;;;
bpost bank;BPOTBEB1;;;;;BE;;;
Banque BPVIIT22060;BPVIIT22060;;;;;IT;;;
Banque BREDFRPP;BREDFRPP;;;;;FR;;;
Banque BSABESBBXXX;BSABESBBXXX;;;;;ES;;;
Banque BSABFRPPXXX;BSABFRPPXXX;;;;;FR;;;
Santander Benelux;BSCHBEBB;;;;;BE;;;
